Latitude,Longitude,Date
38.9549276,-77.0728714,6/23/2020
38.9552997,-77.0730380,6/23/2020
38.9562351,-77.0736965,6/23/2020
38.9569310,-77.0743838,6/23/2020
38.9569771,-77.0742618,6/23/2020
38.9569422,-77.0735513,6/23/2020
38.9569784,-77.0730045,6/23/2020
38.9569860,-77.0726155,6/23/2020
38.9569883,-77.0721586,6/23/2020
38.9569740,-77.0730422,6/23/2020
38.9546215,-77.0726524,6/23/2020
38.9545876,-77.0725995,6/23/2020
38.9532858,-77.0716717,6/23/2020
38.9532686,-77.0715567,6/23/2020
38.9532850,-77.0715866,6/23/2020
38.9538320,-77.0721499,6/23/2020
38.9553815,-77.0726846,6/23/2020
38.9557431,-77.0722575,6/23/2020
38.9560573,-77.0719916,6/23/2020
38.9559150,-77.0723661,6/23/2020
38.9553933,-77.0727124,6/23/2020
38.9550082,-77.0714585,6/24/2020
38.9555038,-77.0731574,6/24/2020
38.9563803,-77.0737810,6/24/2020
38.9566969,-77.0741384,6/24/2020
38.9566622,-77.0741518,6/24/2020
38.9570282,-77.0741518,6/24/2020
38.9570071,-77.0716939,6/24/2020
38.9559246,-77.0721089,6/24/2020
38.9547886,-77.0726635,6/24/2020
38.9554454,-77.0731165,6/24/2020
38.9564335,-77.0731553,6/24/2020
38.9557150,-77.0726440,6/24/2020
38.9547680,-77.0722749,6/25/2020
38.9547852,-77.0720184,6/25/2020
38.9547777,-77.0713288,6/25/2020
38.9547790,-77.0708312,6/25/2020
38.9547753,-77.0707819,6/25/2020
38.9552767,-77.0709673,6/25/2020
38.9549446,-77.0712413,6/25/2020
38.9547104,-77.0728053,6/25/2020
38.9558779,-77.0733642,6/25/2020
38.9562755,-77.0737417,6/25/2020
38.9570814,-77.0745806,6/25/2020
38.9572026,-77.0745679,6/25/2020
38.9574824,-77.0745293,6/25/2020
38.9574824,-77.0745293,6/25/2020
38.9570851,-77.0745488,6/25/2020
38.9568611,-77.0742111,6/25/2020
38.9547680,-77.0728653,6/26/2020
38.9547824,-77.0733542,6/26/2020
38.9547868,-77.0737756,6/26/2020
38.9547785,-77.0738212,6/26/2020
38.9547587,-77.0741890,6/26/2020
38.9563003,-77.0745783,6/26/2020
38.9549738,-77.0727668,6/26/2020
38.9547495,-77.0726739,6/26/2020
38.9553669,-77.0725421,6/26/2020
38.9560325,-77.0722152,6/26/2020
38.9556941,-77.0725200,6/26/2020
38.9554423,-77.0726930,6/26/2020
38.9565482,-77.0716147,6/26/2020
38.9555463,-77.0716815,6/26/2020
38.9548056,-77.0727590,6/26/2020
38.9548538,-77.0727802,6/26/2020
38.9557275,-77.0733076,6/26/2020
38.9562993,-77.0737454,6/26/2020
38.9563874,-77.0731480,6/26/2020
38.9556167,-77.0725559,6/26/2020
38.9547495,-77.0726739,6/26/2020
38.9553669,-77.0725421,6/26/2020
38.9560325,-77.0722152,6/26/2020
38.9556941,-77.0725200,6/26/2020
38.9554423,-77.0726930,6/26/2020
38.9549662,-77.0728432,6/27/2020
38.9548447,-77.0727158,6/28/2020
38.9556595,-77.0731651,6/28/2020
38.9566179,-77.0740267,6/28/2020
38.9567472,-77.0741565,6/28/2020
38.9568058,-77.0742095,6/28/2020
38.9553987,-77.0732358,6/28/2020
38.9543389,-77.0723990,6/28/2020
38.9542012,-77.0723198,6/28/2020
38.9547704,-77.0717961,6/28/2020
38.9547514,-77.0724167,6/28/2020
38.9548791,-77.0728895,6/28/2020
38.9565013,-77.0716235,6/28/2020
38.9567878,-77.0713760,6/28/2020
38.9559004,-77.0706431,6/28/2020
38.9553393,-77.0711336,6/28/2020
38.9547683,-77.0720292,6/28/2020
38.9547477,-77.0727976,6/29/2020
38.9553422,-77.0729974,6/29/2020
38.9557283,-77.0732526,6/29/2020
38.9562231,-77.0736365,6/29/2020
38.9563287,-77.0731101,6/29/2020
38.9547031,-77.0726585,6/29/2020
38.9559131,-77.0721716,6/29/2020
38.9560706,-77.0721381,6/29/2020
38.9561952,-77.0720768,6/29/2020
38.9557979,-77.0724251,6/29/2020
38.9552235,-77.0720292,6/29/2020
38.9555119,-77.0717227,6/29/2020
38.9565874,-77.0715567,6/29/2020
38.9546048,-77.0725857,6/30/2020
38.9544140,-77.0724657,6/30/2020
38.9543488,-77.0719819,6/30/2020
38.9548027,-77.0717026,6/30/2020
38.9547487,-77.0722625,6/30/2020
38.9548108,-77.0727426,6/30/2020
38.9548992,-77.0727979,6/30/2020
38.9553007,-77.0728412,6/30/2020
38.9556464,-77.0725555,6/30/2020
38.9567420,-77.0715604,6/30/2020
38.9567792,-77.0715584,6/30/2020
38.9569599,-77.0725247,6/30/2020
38.9569440,-77.0735412,6/30/2020
38.9557849,-77.0732653,6/30/2020
38.9545535,-77.0725753,7/1/2020
38.9544163,-77.0724690,7/1/2020
38.9544909,-77.0718528,7/1/2020
38.9547373,-77.0720942,7/1/2020
38.9545396,-77.0731473,7/2/2020
38.9544129,-77.0731406,7/2/2020
38.9542166,-77.0728452,7/2/2020
38.9539447,-77.0724479,7/2/2020
38.9536949,-77.0725616,7/2/2020
38.9535572,-77.0725995,7/2/2020
38.9535447,-77.0726098,7/2/2020
38.9544299,-77.0727171,7/2/2020
38.9547102,-77.0726132,07/01/2020
38.9552939,-77.0730182,07/01/2020
38.9556602,-77.0732405,07/01/2020
38.9563170,-77.0737588,07/01/2020
38.9563681,-77.0731533,07/01/2020
38.9556253,-77.0725009,07/01/2020
